metric,mean,std,min,max
total_reward,-0.1111,1.6827,-9.0016,1.0000
num_steps,38.0068,37.9662,1.0000,90.0000
final_goal_distance,inf,nan,0.0100,inf
avg_planning_time_ms,1.0776,0.6084,0.5327,4.7193
map_time_s,5.9216,2.0597,4.5107,19.5437
goal_reached_rate,0.6689,,,
collision_rate,0.0340,,,
at_fault_collision_rate,0.0238,,,
offroad_rate,0.0102,,,
score_comfort,0.8239,0.1923,0.0000,1.0000
score_l_align,0.6241,0.4345,0.0000,1.0000
score_l_center,0.6177,0.3643,0.0000,1.0000
r_collision,-0.0308,0.1859,-1.5999,0.0000
r_offroad,-0.0020,0.0201,-0.2000,0.0000
r_goal,0.6689,0.4706,0.0000,1.0000
r_jerk_legacy,0.0000,0.0000,0.0000,0.0000
r_velocity,0.0000,0.0000,0.0000,0.0000
r_comfort,0.0000,0.0000,0.0000,0.0000
r_l_align,-0.0003,0.0009,-0.0105,0.0000
r_l_center,-0.0004,0.0005,-0.0030,0.0001
r_timestep,0.0000,0.0000,0.0000,0.0000
r_reverse,-0.0000,0.0002,-0.0019,0.0000
r_speed_limit,-0.7465,1.6469,-9.0000,0.0000
raw_collision,0.0340,0.1811,0.0000,1.0000
raw_offroad,0.0102,0.1004,0.0000,1.0000
raw_goal,0.6689,0.4706,0.0000,1.0000
raw_jerk_legacy,0.0000,0.0000,0.0000,0.0000
raw_velocity,0.0000,0.0000,0.0000,0.0000
raw_comfort,9.9338,15.9886,0.0000,111.0000
raw_l_align,-1.3574,4.5012,-54.1039,0.0225
raw_l_center,1.5171,2.1883,-0.5305,12.1716
raw_timestep,3.7890,3.8082,0.0000,9.0000
raw_reverse,0.0475,0.3247,0.0000,3.7000
raw_speed_limit,7.4652,16.4692,0.0000,90.0000
