metric,mean,std,min,max
total_reward,-0.1550,1.5609,-10.4042,1.0007
num_steps,42.6027,41.0064,1.0000,90.0000
final_goal_distance,inf,nan,0.0100,inf
avg_planning_time_ms,0.9111,0.4149,0.5137,5.2024
map_time_s,6.0353,2.0527,4.4327,19.6086
goal_reached_rate,0.4686,,,
collision_rate,0.0475,,,
at_fault_collision_rate,0.0424,,,
offroad_rate,0.0238,,,
score_comfort,0.9763,0.0868,0.0000,1.0000
score_l_align,0.6048,0.4479,0.0000,1.0000
score_l_center,0.6350,0.3657,0.0000,1.0000
r_collision,-0.1670,0.7669,-4.5439,0.0000
r_offroad,-0.0713,0.4570,-3.0000,0.0000
r_goal,0.4686,0.4990,0.0000,1.0000
r_jerk_legacy,0.0000,0.0000,0.0000,0.0000
r_velocity,0.0000,0.0000,0.0000,0.0000
r_comfort,-0.1365,0.2401,-2.7000,0.0000
r_l_align,-0.0404,0.1847,-1.9957,0.0006
r_l_center,-0.0155,0.0207,-0.0941,0.0044
r_timestep,0.0000,0.0000,0.0000,0.0000
r_reverse,-0.0012,0.0085,-0.0675,0.0000
r_speed_limit,-0.1917,0.8800,-9.0000,0.0000
raw_collision,0.0475,0.2128,0.0000,1.0000
raw_offroad,0.0238,0.1523,0.0000,1.0000
raw_goal,0.4686,0.4990,0.0000,1.0000
raw_jerk_legacy,0.0000,0.0000,0.0000,0.0000
raw_velocity,0.0000,0.0000,0.0000,0.0000
raw_comfort,1.5603,3.3830,0.0000,40.0000
raw_l_align,-1.6173,7.3863,-79.8289,0.0225
raw_l_center,2.0834,2.7605,-0.5918,12.5520
raw_timestep,4.2234,4.1381,0.0000,9.0000
raw_reverse,0.1606,1.1325,0.0000,9.0000
raw_speed_limit,1.9168,8.8005,0.0000,90.0000
