map_id,total_reward,num_steps,goal_reached,collision_rate,at_fault_collision_rate,offroad_rate,final_goal_distance,avg_planning_time_ms,total_time_s,mean_speed_mps,score_comfort,score_l_align,score_l_center,r_collision,r_offroad,r_goal,r_jerk_legacy,r_velocity,r_comfort,r_l_align,r_l_center,r_timestep,r_reverse,r_speed_limit,raw_collision,raw_offroad,raw_goal,raw_jerk_legacy,raw_velocity,raw_comfort,raw_l_align,raw_l_center,raw_timestep,raw_reverse,raw_speed_limit
3,-0.11,90,False,0.0%,0.0%,0.0%,0.12,1.1,6.93,6.905,0.9926,0.9556,0.8983,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.1000,-0.0094,-0.0045,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-1.1338,+1.1783,+9.0000,+0.0000,+0.0000
5,0.15,8,True,0.0%,0.0%,0.0%,0.01,0.6,5.38,19.618,0.9583,0.7500,0.8787,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.0500,+0.0000,-0.0005,+0.0000,+0.0000,-0.8000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,+0.0020,+0.1422,+0.8000,+0.0000,+8.0000
6,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,4.86,0.000,0.3333,1.0000,0.9924,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+2.0000,+0.0002,-0.0066,+0.1000,+0.1000,+0.0000
7,-0.44,90,False,0.0%,0.0%,0.0%,0.19,0.7,6.64,8.293,0.9926,0.3222,0.7109,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.1000,-0.3333,-0.0044,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-40.1263,+1.1554,+9.0000,+0.0000,+0.0000
9,0.00,90,False,0.0%,0.0%,0.0%,0.30,0.6,5.93,0.199,1.0000,1.0000,0.9732,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0003,+0.0008,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0224,-0.2203,+9.0000,+0.0000,+0.0000
10,-0.01,90,False,0.0%,0.0%,0.0%,0.24,0.7,6.36,7.647,1.0000,0.9889,0.8288,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0003,-0.0096,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0177,+2.5333,+9.0000,+0.0000,+0.0000
12,0.90,24,True,0.0%,0.0%,0.0%,0.01,0.6,4.93,1.420,0.9722,1.0000,0.7589,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.1000,+0.0001,-0.0039,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+2.0000,+0.0056,+1.0343,+2.4000,+0.0000,+0.0000
13,0.95,1,True,0.0%,0.0%,0.0%,inf,1.1,4.89,0.121,0.6667,1.0000,0.8220,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.0500,+0.0000,-0.0001,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,+0.0002,+0.0298,+0.1000,+0.0000,+0.0000
15,-0.25,90,False,0.0%,0.0%,0.0%,0.11,0.6,5.44,4.124,0.9815,1.0000,0.9142,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.2500,+0.0003,-0.0035,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+5.0000,+0.0223,+0.9157,+9.0000,+0.0000,+0.0000
17,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,5.32,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0015,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
18,1.00,1,True,0.0%,0.0%,0.0%,inf,0.9,5.07,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0015,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
21,1.00,1,True,0.0%,0.0%,0.0%,inf,1.2,5.17,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0015,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
22,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,4.95,0.000,1.0000,1.0000,0.7904,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.0001,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0002,+0.0365,+0.0000,+0.0000,+0.0000
24,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,4.89,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0015,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
27,0.00,1,False,0.0%,0.0%,0.0%,inf,1.0,5.17,0.000,1.0000,0.0000,1.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000
28,0.88,85,True,0.0%,0.0%,0.0%,0.01,0.6,5.30,13.624,0.9922,0.9765,0.6243,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.1000,-0.0008,-0.0223,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+2.0000,-0.1185,+5.8756,+8.5000,+0.0000,+0.0000
29,0.85,1,True,0.0%,0.0%,0.0%,inf,0.9,4.87,0.666,0.0000,0.0000,0.4984,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.1500,+0.0000,-0.0004,+0.0000,-0.0004,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+3.0000,+0.0001,+0.0973,+0.1000,+0.1000,+0.0000
31,1.00,1,True,0.0%,0.0%,0.0%,inf,1.2,5.07,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0015,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
32,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,4.83,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0015,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
33,0.00,1,False,0.0%,0.0%,0.0%,inf,0.9,4.80,0.000,1.0000,0.0000,1.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000
35,-0.48,90,False,0.0%,0.0%,0.0%,0.16,0.8,5.54,7.145,0.9667,1.0000,0.5673,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.4500,+0.0003,-0.0283,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+9.0000,+0.0214,+7.4435,+9.0000,+0.0000,+0.0000
37,-8.07,90,True,0.0%,0.0%,0.0%,0.02,0.6,4.99,21.232,0.9963,0.9778,0.8819,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.0500,-0.0140,-0.0057,+0.0000,+0.0000,-9.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,-1.7962,+1.5017,+9.0000,+0.0000,+90.0000
39,-0.45,90,False,0.0%,0.0%,0.0%,0.23,0.6,6.29,8.792,0.9741,0.5333,0.6321,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.3500,-0.0845,-0.0168,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+7.0000,-10.2294,+4.4253,+9.0000,+0.0000,+0.0000
42,-0.10,90,False,0.0%,0.0%,0.0%,0.03,0.7,6.84,13.759,0.9926,1.0000,0.9628,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.1000,+0.0003,+0.0001,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+0.0224,-0.0217,+9.0000,+0.0000,+0.0000
45,1.00,1,True,0.0%,0.0%,0.0%,inf,1.0,4.99,0.000,1.0000,1.0000,0.9046,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0002,+0.0123,+0.0000,+0.0000,+0.0000
46,-4.05,26,False,100.0%,100.0%,0.0%,0.37,0.6,5.14,10.420,1.0000,0.6538,0.8478,-4.0420,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.0059,-0.0021,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.7286,+0.5519,+2.6000,+0.0000,+0.0000
48,1.00,1,True,0.0%,0.0%,0.0%,inf,0.9,4.56,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0015,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
49,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,4.60,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0015,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
50,1.00,1,True,0.0%,0.0%,0.0%,inf,0.9,4.90,0.039,1.0000,1.0000,0.9899,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.0004,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0002,-0.0061,+0.1000,+0.1000,+0.0000
