metric,mean,std,min,max
total_reward,-0.1513,1.8570,-11.1308,1.0004
num_steps,40.7861,40.0443,1.0000,90.0000
final_goal_distance,inf,nan,0.0100,inf
avg_planning_time_ms,1.0427,0.5761,0.5460,5.9662
map_time_s,5.9964,2.0818,4.5572,19.8971
goal_reached_rate,0.5195,,,
collision_rate,0.0509,,,
at_fault_collision_rate,0.0441,,,
offroad_rate,0.0255,,,
score_comfort,0.9761,0.0868,0.0000,1.0000
score_l_align,0.6021,0.4468,0.0000,1.0000
score_l_center,0.6350,0.3665,0.0000,1.0000
r_collision,-0.1870,0.8305,-5.2395,0.0000
r_offroad,-0.0764,0.4726,-3.0000,0.0000
r_goal,0.5195,0.4996,0.0000,1.0000
r_jerk_legacy,0.0000,0.0000,0.0000,0.0000
r_velocity,0.0000,0.0000,0.0000,0.0000
r_comfort,-0.0696,0.1313,-1.0500,0.0000
r_l_align,-0.0148,0.0613,-0.5648,0.0003
r_l_center,-0.0048,0.0076,-0.0419,0.0025
r_timestep,0.0000,0.0000,0.0000,0.0000
r_reverse,-0.0006,0.0043,-0.0342,0.0000
r_speed_limit,-0.3177,1.3761,-9.0000,0.0000
raw_collision,0.0509,0.2199,0.0000,1.0000
raw_offroad,0.0255,0.1575,0.0000,1.0000
raw_goal,0.5195,0.4996,0.0000,1.0000
raw_jerk_legacy,0.0000,0.0000,0.0000,0.0000
raw_velocity,0.0000,0.0000,0.0000,0.0000
raw_comfort,1.5874,3.5457,0.0000,40.0000
raw_l_align,-1.7312,7.3730,-68.1924,0.0225
raw_l_center,1.2812,1.9924,-0.6595,11.0203
raw_timestep,4.0418,4.0412,0.0000,9.0000
raw_reverse,0.1513,1.1195,0.0000,9.0000
raw_speed_limit,3.1766,13.7609,0.0000,90.0000
