metric,mean,std,min,max
total_reward,-0.2843,1.7950,-9.0016,1.0000
num_steps,36.0934,36.8882,1.0000,90.0000
final_goal_distance,inf,nan,0.0100,inf
avg_planning_time_ms,0.8339,0.2886,0.5323,3.9052
map_time_s,5.4093,0.6573,4.5391,8.4056
goal_reached_rate,0.6452,,,
collision_rate,0.0543,,,
at_fault_collision_rate,0.0475,,,
offroad_rate,0.0272,,,
score_comfort,0.8487,0.1521,0.0000,1.0000
score_l_align,0.6184,0.4362,0.0000,1.0000
score_l_center,0.6257,0.3654,0.0000,1.0000
r_collision,-0.0554,0.2567,-1.7631,0.0000
r_offroad,-0.0054,0.0325,-0.2000,0.0000
r_goal,0.6452,0.4785,0.0000,1.0000
r_jerk_legacy,0.0000,0.0000,0.0000,0.0000
r_velocity,0.0000,0.0000,0.0000,0.0000
r_comfort,0.0000,0.0000,0.0000,0.0000
r_l_align,-0.0003,0.0011,-0.0105,0.0000
r_l_center,-0.0003,0.0005,-0.0034,0.0001
r_timestep,0.0000,0.0000,0.0000,0.0000
r_reverse,-0.0000,0.0003,-0.0045,0.0000
r_speed_limit,-0.8679,1.6751,-9.0000,0.0000
raw_collision,0.0543,0.2267,0.0000,1.0000
raw_offroad,0.0272,0.1626,0.0000,1.0000
raw_goal,0.6452,0.4785,0.0000,1.0000
raw_jerk_legacy,0.0000,0.0000,0.0000,0.0000
raw_velocity,0.0000,0.0000,0.0000,0.0000
raw_comfort,6.8098,9.9683,0.0000,66.0000
raw_l_align,-1.6344,6.1442,-62.5088,0.0225
raw_l_center,1.3477,2.0528,-0.5305,13.7289
raw_timestep,3.6003,3.6975,0.0000,9.0000
raw_reverse,0.0623,0.5443,0.0000,9.0000
raw_speed_limit,8.6791,16.7506,0.0000,90.0000
