map_id,total_reward,num_steps,goal_reached,collision_rate,at_fault_collision_rate,offroad_rate,final_goal_distance,avg_planning_time_ms,total_time_s,mean_speed_mps,score_comfort,score_l_align,score_l_center,r_collision,r_offroad,r_goal,r_jerk_legacy,r_velocity,r_comfort,r_l_align,r_l_center,r_timestep,r_reverse,r_speed_limit,raw_collision,raw_offroad,raw_goal,raw_jerk_legacy,raw_velocity,raw_comfort,raw_l_align,raw_l_center,raw_timestep,raw_reverse,raw_speed_limit
3,-0.27,90,False,0.0%,0.0%,0.0%,0.12,1.0,7.38,6.905,0.9926,0.9556,0.8983,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.2000,-0.0283,-0.0379,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-1.1338,+5.0554,+9.0000,+0.0000,+0.0000
5,0.10,8,True,0.0%,0.0%,0.0%,0.01,0.7,5.35,19.149,0.9583,0.7500,0.8787,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.1000,+0.0000,-0.0041,+0.0000,+0.0000,-0.8000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,+0.0020,+0.5526,+0.8000,+0.0000,+8.0000
6,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,4.99,0.000,0.6667,1.0000,0.9925,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,+0.0002,-0.0066,+0.1000,+0.1000,+0.0000
7,-1.22,90,False,0.0%,0.0%,0.0%,0.19,0.8,6.80,8.293,0.9926,0.3222,0.7109,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.2000,-1.0032,-0.0193,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-40.1263,+2.5775,+9.0000,+0.0000,+0.0000
9,-0.03,90,False,0.0%,0.0%,0.0%,0.30,0.7,6.09,0.199,1.0000,1.0000,0.9732,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0006,-0.0342,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0224,+4.5564,+9.0000,+0.0000,+0.0000
10,-0.01,90,False,0.0%,0.0%,0.0%,0.24,0.7,6.31,7.647,1.0000,0.9889,0.8288,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0004,-0.0111,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0177,+1.4769,+9.0000,+0.0000,+0.0000
12,0.78,24,True,0.0%,0.0%,0.0%,0.01,0.6,5.03,1.420,0.9722,1.0000,0.7589,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.2000,+0.0001,-0.0171,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+2.0000,+0.0056,+2.2827,+2.4000,+0.0000,+0.0000
13,0.90,1,True,0.0%,0.0%,0.0%,inf,1.1,4.83,0.121,0.6667,1.0000,0.8220,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.1000,+0.0000,-0.0001,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,+0.0002,+0.0073,+0.1000,+0.0000,+0.0000
15,-0.22,90,False,0.0%,0.0%,0.0%,0.08,0.5,5.52,4.816,0.9926,1.0000,0.8946,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.2000,+0.0006,-0.0208,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+0.0222,+2.7715,+9.0000,+0.0000,+0.0000
17,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,5.24,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0025,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
18,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,4.89,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0025,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
21,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,5.04,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0025,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
22,1.00,1,True,0.0%,0.0%,0.0%,inf,0.8,5.07,0.000,1.0000,1.0000,0.7904,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.0007,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0002,+0.0886,+0.0000,+0.0000,+0.0000
24,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,5.22,0.000,1.0000,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.0025,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,-0.1003,+0.0000,+0.0000,+0.0000,+0.0000
27,0.00,1,False,0.0%,0.0%,0.0%,inf,1.1,5.09,0.000,1.0000,0.0000,1.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000
28,-0.33,90,False,0.0%,0.0%,0.0%,0.02,0.6,5.86,12.583,0.9889,1.0000,0.5931,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.3000,+0.0006,-0.0336,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+3.0000,+0.0223,+4.4799,+9.0000,+0.0000,+0.0000
29,0.70,1,True,0.0%,0.0%,0.0%,inf,1.2,5.42,0.666,0.0000,0.0000,0.4984,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.3000,+0.0000,-0.0011,+0.0000,-0.0008,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+3.0000,+0.0001,+0.1485,+0.1000,+0.1000,+0.0000
