metric,mean,std,min,max
total_reward,-0.2676,1.8949,-14.1291,1.0007
num_steps,40.9049,40.0562,1.0000,90.0000
final_goal_distance,inf,nan,0.0100,inf
avg_planning_time_ms,0.8459,0.2905,0.5185,3.2190
map_time_s,5.4907,0.6829,4.5841,9.3634
goal_reached_rate,0.4992,,,
collision_rate,0.0543,,,
at_fault_collision_rate,0.0492,,,
offroad_rate,0.0306,,,
score_comfort,0.9759,0.0865,0.0000,1.0000
score_l_align,0.6035,0.4469,0.0000,1.0000
score_l_center,0.6318,0.3656,0.0000,1.0000
r_collision,-0.2113,0.8910,-5.2395,0.0000
r_offroad,-0.0917,0.5164,-3.0000,0.0000
r_goal,0.4992,0.5000,0.0000,1.0000
r_jerk_legacy,0.0000,0.0000,0.0000,0.0000
r_velocity,0.0000,0.0000,0.0000,0.0000
r_comfort,-0.1382,0.2712,-2.5000,0.0000
r_l_align,-0.0423,0.1785,-1.7048,0.0006
r_l_center,-0.0153,0.0205,-0.0943,0.0044
r_timestep,0.0000,0.0000,0.0000,0.0000
r_reverse,-0.0009,0.0078,-0.0675,0.0000
r_speed_limit,-0.2671,1.1688,-9.0000,0.0000
raw_collision,0.0543,0.2267,0.0000,1.0000
raw_offroad,0.0306,0.1721,0.0000,1.0000
raw_goal,0.4992,0.5000,0.0000,1.0000
raw_jerk_legacy,0.0000,0.0000,0.0000,0.0000
raw_velocity,0.0000,0.0000,0.0000,0.0000
raw_comfort,1.4465,2.7957,0.0000,25.0000
raw_l_align,-1.6952,7.1397,-68.1924,0.0225
raw_l_center,2.0475,2.7325,-0.5918,12.5771
raw_timestep,4.0538,4.0423,0.0000,9.0000
raw_reverse,0.1246,1.0417,0.0000,9.0000
raw_speed_limit,2.6706,11.6881,0.0000,90.0000
