map_id,total_reward,num_steps,goal_reached,collision_rate,at_fault_collision_rate,offroad_rate,final_goal_distance,avg_planning_time_ms,total_time_s,mean_speed_mps,score_comfort,score_l_align,score_l_center,r_collision,r_offroad,r_goal,r_jerk_legacy,r_velocity,r_comfort,r_l_align,r_l_center,r_timestep,r_reverse,r_speed_limit,raw_collision,raw_offroad,raw_goal,raw_jerk_legacy,raw_velocity,raw_comfort,raw_l_align,raw_l_center,raw_timestep,raw_reverse,raw_speed_limit
3,-0.11,90,False,0.0%,0.0%,0.0%,0.12,1.0,7.25,6.905,0.9926,0.9556,0.8983,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.1000,-0.0094,-0.0045,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-1.1338,+1.1783,+9.0000,+0.0000,+0.0000
5,0.15,8,True,0.0%,0.0%,0.0%,0.01,0.6,5.34,19.149,0.9583,0.7500,0.8787,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.0500,+0.0000,-0.0005,+0.0000,+0.0000,-0.8000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,+0.0020,+0.1422,+0.8000,+0.0000,+8.0000
6,1.00,1,True,0.0%,0.0%,0.0%,inf,1.1,5.02,0.000,0.6667,1.0000,0.9925,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,+0.0002,-0.0066,+0.1000,+0.1000,+0.0000
7,-0.44,90,False,0.0%,0.0%,0.0%,0.19,0.8,6.76,8.293,0.9926,0.3222,0.7109,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.1000,-0.3333,-0.0044,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-40.1263,+1.1554,+9.0000,+0.0000,+0.0000
9,0.00,90,False,0.0%,0.0%,0.0%,0.30,0.7,6.29,0.199,1.0000,1.0000,0.9732,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0003,+0.0008,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0224,-0.2203,+9.0000,+0.0000,+0.0000
10,-0.01,90,False,0.0%,0.0%,0.0%,0.24,0.8,6.62,7.647,1.0000,0.9889,0.8288,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0003,-0.0096,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0177,+2.5333,+9.0000,+0.0000,+0.0000
12,0.90,24,True,0.0%,0.0%,0.0%,0.01,0.6,5.06,1.420,0.9722,1.0000,0.7589,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.1000,+0.0001,-0.0039,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+2.0000,+0.0056,+1.0343,+2.4000,+0.0000,+0.0000
13,0.95,1,True,0.0%,0.0%,0.0%,inf,1.0,4.92,0.121,0.6667,1.0000,0.8220,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.0500,+0.0000,-0.0001,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,+0.0002,+0.0298,+0.1000,+0.0000,+0.0000
15,-0.10,90,False,0.0%,0.0%,0.0%,0.08,0.6,5.56,4.816,0.9926,1.0000,0.8946,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.1000,+0.0003,-0.0049,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,+0.0222,+1.2904,+9.0000,+0.0000,+0.0000
17,0.95,1,True,0.0%,0.0%,0.0%,inf,1.1,5.16,0.000,0.6667,0.0000,0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,-0.0500,-0.0017,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.0000,+0.0000,+1.0000,-0.1270,+0.0000,+0.1000,+0.0000,+0.0000
