metric,mean,std,min,max
total_reward,-0.2062,2.0354,-13.9051,1.0004
num_steps,39.8727,39.6122,1.0000,90.0000
final_goal_distance,inf,nan,0.0100,inf
avg_planning_time_ms,0.8220,0.2769,0.5226,3.1390
map_time_s,5.4374,0.6839,4.5628,8.7486
goal_reached_rate,0.5246,,,
collision_rate,0.0577,,,
at_fault_collision_rate,0.0526,,,
offroad_rate,0.0255,,,
score_comfort,0.9695,0.0963,0.0000,1.0000
score_l_align,0.6039,0.4458,0.0000,1.0000
score_l_center,0.6321,0.3667,0.0000,1.0000
r_collision,-0.2272,0.9277,-5.2395,0.0000
r_offroad,-0.0764,0.4726,-3.0000,0.0000
r_goal,0.5246,0.4994,0.0000,1.0000
r_jerk_legacy,0.0000,0.0000,0.0000,0.0000
r_velocity,0.0000,0.0000,0.0000,0.0000
r_comfort,-0.0735,0.1588,-1.6000,0.0000
r_l_align,-0.0149,0.0600,-0.5648,0.0003
r_l_center,-0.0049,0.0076,-0.0367,0.0025
r_timestep,0.0000,0.0000,0.0000,0.0000
r_reverse,-0.0004,0.0038,-0.0342,0.0000
r_speed_limit,-0.3334,1.4060,-9.0000,0.0000
raw_collision,0.0577,0.2332,0.0000,1.0000
raw_offroad,0.0255,0.1575,0.0000,1.0000
raw_goal,0.5246,0.4994,0.0000,1.0000
raw_jerk_legacy,0.0000,0.0000,0.0000,0.0000
raw_velocity,0.0000,0.0000,0.0000,0.0000
raw_comfort,1.5348,3.2467,0.0000,32.0000
raw_l_align,-1.7451,7.1765,-68.1924,0.0225
raw_l_center,1.3056,2.0099,-0.6595,9.6631
raw_timestep,3.9523,3.9957,0.0000,9.0000
raw_reverse,0.1158,0.9877,0.0000,9.0000
raw_speed_limit,3.3345,14.0601,0.0000,90.0000
