tag,run_dir,traffic,wandb,checkpoint,eval_dir,goal_reached_rate,collision_rate,at_fault_collision_rate,offroad_rate,total_reward,score_l_align,score_l_center,score_comfort,collision_maps,lateral,front,rear,stopped,at_fault_events,fault_lateral,fault_front
H0_r2,homogeneous_drive_lstm_500m_batch1x_run4_r2,idm,u9ymfcqr,experiments/puffer_drive_u9ymfcqr/model_puffer_drive_000954.pt,.logs/train/run4/problem/test/homogeneous_drive_lstm_500m_batch1x_run4_r2/Drive_Recurrent,0.8166,0.0577,0.0458,0.0085,-0.675,,,,34,25,7,1,1,27,20,7
H0_r2,homogeneous_drive_lstm_500m_batch1x_run4_r2,ppo,u9ymfcqr,experiments/puffer_drive_u9ymfcqr/model_puffer_drive_000954.pt,.logs/train/run4/problem/test/homogeneous_drive_lstm_500m_batch1x_run4_r2/Drive_Recurrent,0.8964,0.0068,0.0068,0.0034,-0.649,,,,4,3,1,0,0,4,3,1
C-A,cons_mix_A_steer0333_batch2x_1b_run4,idm,6qdti7k0,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_6qdti7k0/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try/test/cons_mix_A_steer0333_batch2x_1b_run4/Drive_Recurrent/20260718_061533_815c37,0.8132,0.0509,0.0458,0.017,-0.64,0.5109,0.552,0.327,30,14,14,0,2,27,12,14
C-A,cons_mix_A_steer0333_batch2x_1b_run4,ppo,6qdti7k0,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_6qdti7k0/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try/test/cons_mix_A_steer0333_batch2x_1b_run4/Drive_Recurrent/20260718_061533_94bb7e,0.9032,0.0,0.0,0.0034,-0.6431,0.5618,0.5582,0.3356,,,,,,,,
C-B,cons_mix_B_shape_batch2x_1b_run4,idm,l8z87oaa,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_l8z87oaa/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try/test/cons_mix_B_shape_batch2x_1b_run4/Drive_Recurrent/20260718_063733_064710,0.8149,0.0424,0.0323,0.0136,-0.7114,0.5099,0.5529,0.3125,25,18,5,1,1,19,14,5
C-B,cons_mix_B_shape_batch2x_1b_run4,ppo,l8z87oaa,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_l8z87oaa/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try/test/cons_mix_B_shape_batch2x_1b_run4/Drive_Recurrent/20260718_063734_73fee6,0.8998,0.0017,0.0,0.0034,-0.632,0.5396,0.555,0.3029,1,1,0,0,0,0,0,0
C-A_r2,cons_mix_A_steer0333_batch2x_1b_run4_r2,idm,t1uqsvzw,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_t1uqsvzw/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try/test/cons_mix_A_steer0333_batch2x_1b_run4_r2/Drive_Recurrent/20260718_134737_779c43,0.8183,0.0458,0.0374,0.0119,-0.682,0.5164,0.5558,0.3098,27,14,10,1,2,22,11,10
C-A_r2,cons_mix_A_steer0333_batch2x_1b_run4_r2,ppo,t1uqsvzw,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_t1uqsvzw/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try/test/cons_mix_A_steer0333_batch2x_1b_run4_r2/Drive_Recurrent/20260718_134738_e60fea,0.8964,0.0085,0.0034,0.0034,-0.6668,0.5539,0.5578,0.3039,5,0,2,2,1,2,0,2
C-B_r2,cons_mix_B_shape_batch2x_1b_run4_r2,idm,i1mvzmos,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_i1mvzmos/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try/test/cons_mix_B_shape_batch2x_1b_run4_r2/Drive_Recurrent/20260718_141037_99d7c4,0.8285,0.0441,0.0323,0.017,-0.6872,0.5133,0.5557,0.3338,26,16,5,2,3,19,12,5
C-B_r2,cons_mix_B_shape_batch2x_1b_run4_r2,ppo,i1mvzmos,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_i1mvzmos/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try/test/cons_mix_B_shape_batch2x_1b_run4_r2/Drive_Recurrent/20260718_141038_05841f,0.893,0.0068,0.0051,0.0051,-0.6435,0.5419,0.556,0.3164,4,3,1,0,0,3,2,1
