tag,run_dir,traffic,wandb,checkpoint,eval_dir,goal_reached_rate,collision_rate,at_fault_collision_rate,offroad_rate,total_reward,score_l_align,score_l_center,score_comfort,collision_maps,lateral,front,rear,stopped,at_fault_events,fault_lateral,fault_front
H0_r2,homogeneous_drive_lstm_500m_batch1x_run4_r2,idm,u9ymfcqr,experiments/puffer_drive_u9ymfcqr/model_puffer_drive_000954.pt,.logs/train/run4/problem/test_IDM/homogeneous_drive_lstm_500m_batch1x_run4_r2/Drive_Recurrent,0.8166,0.0577,0.0458,0.0085,-0.675,,,,34,25,7,1,1,27,20,7
H0_r2,homogeneous_drive_lstm_500m_batch1x_run4_r2,ppo,u9ymfcqr,experiments/puffer_drive_u9ymfcqr/model_puffer_drive_000954.pt,.logs/train/run4/problem/test_IDM/homogeneous_drive_lstm_500m_batch1x_run4_r2/Drive_Recurrent,0.8964,0.0068,0.0068,0.0034,-0.649,,,,4,3,1,0,0,4,3,1
C-A_mb65k,cons_mix_A_steer0333_mb65k_1b_tryIDM,ppo,stq4hogz,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_stq4hogz/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try_IDM/test/cons_mix_A_steer0333_mb65k_1b_tryIDM/Drive_Recurrent/20260718_210133_e72300,0.9066,0.0,0.0,0.0017,-0.6487,0.5564,0.5594,0.3048,,,,,,,,
C-A_mb65k,cons_mix_A_steer0333_mb65k_1b_tryIDM,idm,stq4hogz,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_stq4hogz/model_policy_0_puffer_drive_conservative_mix_000954.pt,.logs/train/run4/try_IDM/test/cons_mix_A_steer0333_mb65k_1b_tryIDM/Drive_Recurrent/20260718_210133_effda6,0.8217,0.0492,0.0441,0.0102,-0.703,0.516,0.5532,0.31,29,17,10,1,1,26,16,10
C-B_mb65k,cons_mix_B_shape_mb65k_1b_tryIDM,idm,plvd8yph,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_plvd8yph/model_policy_0_puffer_drive_conservative_mix_000954.pt,/home/fanyuqi/wsc/behavior-bench/.logs/train/run4/try_IDM/test/cons_mix_B_shape_mb65k_1b_tryIDM/Drive_Recurrent/20260718_211540_45275f,0.8302,0.0255,0.0187,0.0102,-0.5869,0.5063,0.5498,0.3194,15,9,3,1,2,11,7,3
C-B_mb65k,cons_mix_B_shape_mb65k_1b_tryIDM,ppo,plvd8yph,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_plvd8yph/model_policy_0_puffer_drive_conservative_mix_000954.pt,/home/fanyuqi/wsc/behavior-bench/.logs/train/run4/try_IDM/test/cons_mix_B_shape_mb65k_1b_tryIDM/Drive_Recurrent/20260718_211541_e713bc,0.893,0.0068,0.0034,0.0051,-0.6167,0.5402,0.5549,0.2993,4,4,0,0,0,2,2,0
C-B_mb65k_r2,cons_mix_B_shape_mb65k_1b_tryIDM_r2,idm,5dljtpvh,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_5dljtpvh/model_policy_0_puffer_drive_conservative_mix_000954.pt,/home/fanyuqi/wsc/behavior-bench/.logs/train/run4/try_IDM/test/cons_mix_B_shape_mb65k_1b_tryIDM_r2/Drive_Recurrent/20260719_062816_34e597,0.8268,0.0441,0.0323,0.0153,-0.688,0.5196,0.5535,0.358,26,19,1,3,3,19,16,1
C-B_mb65k_r2,cons_mix_B_shape_mb65k_1b_tryIDM_r2,ppo,5dljtpvh,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_5dljtpvh/model_policy_0_puffer_drive_conservative_mix_000954.pt,/home/fanyuqi/wsc/behavior-bench/.logs/train/run4/try_IDM/test/cons_mix_B_shape_mb65k_1b_tryIDM_r2/Drive_Recurrent/20260719_062817_a6c5b2,0.8964,0.0034,0.0034,0.0051,-0.6241,0.5472,0.5583,0.3494,2,1,0,0,1,2,1,0
C-B_strat,cons_mix_B_shape_stratified_1b_tryIDM,idm,u2qysy6b,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_u2qysy6b/model_policy_0_puffer_drive_conservative_mix_000954.pt,/home/fanyuqi/wsc/behavior-bench/.logs/train/run4/try_IDM/test/cons_mix_B_shape_stratified_1b_tryIDM/Drive_Recurrent/20260719_025234_8b12d8,0.8183,0.0492,0.0374,0.0136,-0.7011,0.5168,0.5508,0.3526,29,16,9,2,2,22,12,9
C-B_strat,cons_mix_B_shape_stratified_1b_tryIDM,ppo,u2qysy6b,/home/fanyuqi/wsc/behavior-bench/experiments/puffer_drive_conservative_mix_u2qysy6b/model_policy_0_puffer_drive_conservative_mix_000954.pt,/home/fanyuqi/wsc/behavior-bench/.logs/train/run4/try_IDM/test/cons_mix_B_shape_stratified_1b_tryIDM/Drive_Recurrent/20260719_025235_262420,0.8998,0.0034,0.0017,0.0034,-0.6176,0.5586,0.5519,0.3555,2,0,1,1,0,1,0,1
