metric,mean,std,min,max
total_reward,-0.0750,1.7289,-9.0000,1.0000
num_steps,39.5365,38.7422,1.0000,90.0000
final_goal_distance,inf,nan,0.0100,inf
avg_planning_time_ms,22.3540,10.7252,2.8408,63.1579
map_time_s,1.4411,1.3981,0.1382,5.6281
goal_reached_rate,0.5654,,,
collision_rate,0.0883,,,
at_fault_collision_rate,0.0204,,,
offroad_rate,0.0221,,,
score_comfort,0.8965,0.1564,0.0000,1.0000
score_l_align,0.6252,0.4676,0.0000,1.0000
score_l_center,0.7270,0.4040,0.0000,1.0000
r_collision,-0.0923,0.3062,-1.8029,0.0000
r_offroad,-0.0110,0.0735,-0.5000,0.0000
r_goal,0.5654,0.4957,0.0000,1.0000
r_jerk_legacy,0.0000,0.0000,0.0000,0.0000
r_velocity,0.0000,0.0000,0.0000,0.0000
r_comfort,0.0000,0.0000,0.0000,0.0000
r_l_align,0.0000,0.0000,0.0000,0.0000
r_l_center,0.0000,0.0000,0.0000,0.0000
r_timestep,0.0000,0.0000,0.0000,0.0000
r_reverse,0.0000,0.0000,0.0000,0.0000
r_speed_limit,-0.5370,1.5949,-9.0000,0.0000
raw_collision,0.0883,0.2837,0.0000,1.0000
raw_offroad,0.0221,0.1469,0.0000,1.0000
raw_goal,0.5654,0.4957,0.0000,1.0000
raw_jerk_legacy,0.0000,0.0000,0.0000,0.0000
raw_velocity,0.0000,0.0000,0.0000,0.0000
raw_comfort,9.2173,14.3745,0.0000,89.0000
raw_l_align,-0.2446,1.0957,-16.6256,0.0225
raw_l_center,0.0059,0.6499,-0.7347,7.3370
raw_timestep,3.8935,3.8883,0.0000,9.0000
raw_reverse,0.0000,0.0000,0.0000,0.0000
raw_speed_limit,5.3701,15.9495,0.0000,90.0000
