metric,mean,std,min,max
total_reward,0.1132,1.5054,-9.0000,1.0000
num_steps,40.8744,39.9926,1.0000,90.0000
final_goal_distance,inf,nan,0.0100,inf
avg_planning_time_ms,22.4026,10.5855,3.0420,63.4298
map_time_s,1.6472,1.6257,0.1663,6.6561
goal_reached_rate,0.5756,,,
collision_rate,0.0221,,,
at_fault_collision_rate,0.0119,,,
offroad_rate,0.0204,,,
score_comfort,0.8992,0.1506,0.0000,1.0000
score_l_align,0.6248,0.4668,0.0000,1.0000
score_l_center,0.7312,0.4049,0.0000,1.0000
r_collision,-0.0161,0.1117,-1.0712,0.0000
r_offroad,-0.0102,0.0706,-0.5000,0.0000
r_goal,0.5756,0.4943,0.0000,1.0000
r_jerk_legacy,0.0000,0.0000,0.0000,0.0000
r_velocity,0.0000,0.0000,0.0000,0.0000
r_comfort,0.0000,0.0000,0.0000,0.0000
r_l_align,0.0000,0.0000,0.0000,0.0000
r_l_center,0.0000,0.0000,0.0000,0.0000
r_timestep,0.0000,0.0000,0.0000,0.0000
r_reverse,0.0000,0.0000,0.0000,0.0000
r_speed_limit,-0.4362,1.4075,-9.0000,0.0000
raw_collision,0.0221,0.1469,0.0000,1.0000
raw_offroad,0.0204,0.1413,0.0000,1.0000
raw_goal,0.5756,0.4943,0.0000,1.0000
raw_jerk_legacy,0.0000,0.0000,0.0000,0.0000
raw_velocity,0.0000,0.0000,0.0000,0.0000
raw_comfort,9.6842,15.9883,0.0000,89.0000
raw_l_align,-0.2510,1.0198,-13.4016,0.0225
raw_l_center,-0.0327,0.5002,-0.7344,6.9222
raw_timestep,4.0409,4.0157,0.0000,9.0000
raw_reverse,0.0000,0.0000,0.0000,0.0000
raw_speed_limit,4.3616,14.0747,0.0000,90.0000
